Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
2/19/2015,209.98,211.71,79.42,128.45,43.50,94.19,541.38,379.00,122.05,107.69,126.17,29.31,100.70,42.11,98.72,89.44,108.35,48.91,34.09,110.94,83.52,59.23,51.12,189.11,67.80,3.06,34.21,31.81,110.03,116.19,153.75,110.94,16.21,46.58,86.89
2/20/2015,211.24,217.11,79.90,129.50,43.86,94.19,537.47,383.66,122.38,108.41,126.54,29.61,100.26,41.97,99.06,89.92,108.60,48.97,34.08,112.24,84.30,59.80,51.78,191.51,68.31,3.06,34.41,32.03,112.62,118.54,158.31,112.24,16.38,46.76,86.64
2/23/2015,211.21,207.34,78.84,133.00,44.15,94.31,530.45,380.14,122.50,108.52,127.99,29.63,100.18,41.85,99.45,89.01,107.86,48.77,33.85,112.28,84.60,59.35,51.32,190.31,67.41,3.06,33.76,31.40,116.40,121.39,154.74,112.28,16.20,46.79,85.47
2/24/2015,211.81,204.11,78.45,132.17,44.09,94.98,534.62,378.59,122.66,108.60,129.67,29.63,100.70,42.13,99.58,89.42,107.96,49.22,34.05,116.75,84.57,60.82,51.90,192.22,67.84,3.11,34.41,30.77,115.43,120.76,154.38,116.75,16.38,46.72,84.69
2/25/2015,211.63,203.76,79.56,128.79,43.99,98.66,542.38,385.37,122.80,108.33,130.23,29.49,101.21,42.05,99.50,89.60,108.58,49.20,34.21,116.31,83.57,61.14,52.09,191.72,68.33,3.10,33.95,30.48,114.05,121.18,153.01,116.31,16.49,47.13,86.19
2/26/2015,211.38,207.19,80.41,130.42,44.06,99.51,553.96,384.80,123.25,108.88,128.45,29.91,102.80,42.46,99.07,88.65,107.06,49.37,34.50,115.38,83.80,61.58,52.41,192.20,69.00,3.08,33.65,30.62,113.66,121.59,151.73,115.38,16.04,47.28,85.37
2/27/2015,210.66,203.34,78.97,128.46,43.85,98.90,556.87,380.16,122.58,108.40,129.53,29.51,102.51,43.30,98.98,88.54,106.68,49.45,34.56,114.75,83.93,61.28,52.42,189.79,67.84,3.11,33.25,30.67,113.63,121.63,150.85,114.75,15.81,46.74,85.12
3/2/2015,211.99,197.33,79.75,129.09,43.88,100.00,569.78,385.66,123.47,109.38,126.87,30.19,103.22,43.20,99.00,88.04,105.90,49.47,34.64,116.12,83.96,61.77,53.49,191.79,68.61,3.21,34.06,31.24,114.40,122.48,153.80,116.12,16.01,47.12,84.00
3/3/2015,211.12,199.56,79.60,129.36,43.28,99.74,572.07,384.61,122.74,108.87,126.41,29.54,102.34,42.95,98.40,87.62,105.16,49.55,34.41,116.07,83.37,61.97,53.73,191.27,67.82,3.14,34.10,29.66,112.86,121.11,155.57,116.07,16.04,47.00,81.58
3/4/2015,210.23,202.44,80.90,128.54,43.06,100.25,571.80,382.72,122.36,108.45,126.45,29.33,101.65,42.50,97.36,87.18,105.16,49.07,34.00,114.76,82.58,62.13,53.67,189.67,67.11,3.05,34.12,29.27,113.82,121.86,154.35,114.76,15.84,46.53,85.49
